[ INFO ] [Migrator] Starting prepare [database-id: mysql, migration: AuthService.CreateAuthUser]
[ INFO ] [Migrator] Finished prepare [database-id: mysql, migration: AuthService.CreateAuthUser]
[ NOTICE ] Server started on http://127.0.0.1:8081
[ INFO ] GET /validate [request-id: 2914F7C5-F45D-4B8D-A54B-530874340E2B]
[ INFO ] GET /auth/getToken [request-id: 5CE264B8-081E-4F0D-A426-A4EAEB4C1A7F]
[ INFO ] GET /internal/auth/context [request-id: C40C6EB3-8FD8-436B-8DB9-C0718809C9BF]
[ INFO ] GET /validate [request-id: F4333527-A0BA-40CF-8F08-62781319F6F6]
[ INFO ] GET /auth/getToken [request-id: F1E903ED-41BD-4458-862C-FCEFB8DBE3C0]
[ INFO ] GET /auth/refresh [request-id: 85520521-AFBB-4748-9FAB-E2E2A0572BD2]
[ INFO ] POST /auth/changePasswordEmail [request-id: 6FC3FA10-A904-4CDA-95C5-9A2C00ACB247]
Password reset code for user@lock.local: xypfqryt
[ INFO ] POST /auth/changePassword [request-id: 0AF470C7-CCF0-4492-A5C9-22A9642D3ACD]
[ INFO ] GET /internal/auth/context [request-id: 6CAA6440-6ACB-40BF-90EB-0619043E7293]
[ INFO ] GET /internal/auth/context [request-id: 7789FC96-06EF-42B3-9AB5-001CA8BFC586]
[ INFO ] GET /internal/auth/context [request-id: 816AFDDB-F201-435A-A41E-B496714F082B]
[ INFO ] GET /internal/auth/context [request-id: 11B264E4-9E4C-4EDA-91ED-8641F2DC9264]
[ INFO ] GET /auth/getToken [request-id: 4A4D4CFE-DAE8-453C-B4C9-5AAFE1E1DFAC]
[ INFO ] GET /auth/getToken [request-id: 722C2FA7-D9F3-44DC-8911-4FC2B0A58CF7]
[ INFO ] GET /auth/getToken [request-id: A6C5DDC3-FF3A-4279-902B-4E40AA6D69BB]
[ INFO ] GET /auth/getToken [request-id: 42A90EE8-46D6-46C3-B08B-CEF6867E1C5A]
[ INFO ] GET /internal/auth/context [request-id: 4F31BD54-E16F-465E-8890-586FD35AD419]
[ INFO ] POST /internal/auth/users [request-id: 06DE305B-20BA-4D2C-8DDF-057B6B98D8B3]
Welcome password for new.user.1777315344@lock.local: 9tk2ivm7
[ INFO ] GET /internal/auth/context [request-id: 5439BB47-99C9-4A05-BF99-B3ECDB7F0FA4]
[ INFO ] DELETE /internal/auth/users/9181A689-2F55-4E97-BDC5-823703B3A493 [request-id: 5CB11C5C-0B55-48E2-97FE-7B6B3192ECA9]
[ INFO ] GET /auth/getToken [request-id: 8B9C8176-0D4B-482F-A11A-31FFA012F1FC]
[ INFO ] GET /internal/auth/context [request-id: 65284C9B-6F5F-4AD7-A3B9-279BA920AF2A]
[ INFO ] GET /internal/auth/context [request-id: 770E062F-CA80-49C7-9128-A91B90D6AE1F]
[ INFO ] GET /internal/auth/context [request-id: 779196C5-7814-40CA-87A4-819E4AFF1C73]
[ INFO ] GET /internal/auth/context [request-id: E5FC0937-FB4C-4C0F-8BF1-48AD23A62C09]
[ INFO ] GET /internal/auth/context [request-id: F40B899E-48C9-467A-BB00-E7A88B77B7C8]
[ INFO ] GET /internal/auth/context [request-id: A3055EE4-0E6D-4212-ADF0-74975088927B]
[ INFO ] GET /internal/auth/context [request-id: FDB546B3-04E0-484C-A206-DFCC3448E82C]
[ INFO ] GET /internal/auth/context [request-id: 2CD505EC-2F9E-4E0E-9790-0B617DC5EBB9]
[ INFO ] GET /internal/auth/context [request-id: C85F6615-6234-4E6D-869D-07964FEF32C4]
[ INFO ] GET /internal/auth/context [request-id: 32600A8B-1C85-43A6-9868-13E1853D2A1F]
[ INFO ] GET /internal/auth/context [request-id: CB630943-3ABA-4682-9A7A-1A6DC6FC51DF]
[ INFO ] GET /internal/auth/context [request-id: 5BD48F50-B075-4079-BA42-666D91A96704]
[ INFO ] GET /internal/auth/context [request-id: 28B26E17-19E2-4A6F-9D89-CE9FFA0EB125]
[ INFO ] GET /internal/auth/context [request-id: B1C71B7A-41BA-4DBC-ABAD-BE82FF611227]
[ INFO ] GET /internal/auth/context [request-id: 13222B0A-3C85-4A5F-8EA8-2A5EA71F2AC5]
[ INFO ] GET /internal/auth/context [request-id: 6D22CBEB-66C1-492E-BB49-94B8F518B872]
[ INFO ] GET /internal/auth/context [request-id: A251DA30-D165-447A-8CCE-FCF4BA2FD633]
[ INFO ] GET /internal/auth/context [request-id: 4C1847BB-0291-4950-A9F7-FF7DFC4FDA18]
[ INFO ] GET /internal/auth/context [request-id: FF1A2A61-5426-4321-8692-D23FF40B5DD3]
[ INFO ] GET /internal/auth/context [request-id: BDB797A3-5C49-443E-9C3E-890BC6AFC7FC]
[ INFO ] GET /internal/auth/context [request-id: 174C456B-97A7-444A-8135-0B108DA4E16E]
[ INFO ] GET /internal/auth/context [request-id: DCF697FF-DC0E-4CAF-BE6C-257E08CEEA8E]
[ INFO ] GET /internal/auth/context [request-id: 28EB14E6-8D6B-43DF-9251-1B4DAB80FB8E]
[ INFO ] GET /internal/auth/context [request-id: A5217E15-ED0C-4E48-9537-EB1B383F58D9]
[ INFO ] GET /auth/getToken [request-id: 6AC5C334-7912-4020-8E0C-7545AF9CC608]
[ INFO ] GET /internal/auth/context [request-id: 5D865ED1-541E-4C3D-B548-F8887C236486]
[ INFO ] GET /internal/auth/context [request-id: D4EB935E-B786-49FD-9684-E645070AB9B2]
[ INFO ] GET /internal/auth/context [request-id: DFB53DCF-5C2A-4271-85B7-73A967CCD52D]
[ INFO ] GET /internal/auth/context [request-id: E70DC2F1-C671-4E5A-B151-C196F949CFDD]
[ WARNING ] malformed JWT [request-id: E70DC2F1-C671-4E5A-B151-C196F949CFDD]
[ INFO ] GET /internal/auth/context [request-id: AE9D0BA2-7CC2-4C4E-B2EC-A0CF1D4E51F9]
[ INFO ] GET /auth/getToken [request-id: 0B6E5E06-D48A-4D6D-9D16-5A5617C09CFC]
[ INFO ] GET /internal/auth/context [request-id: DD07F87E-93E6-47A5-BC53-706F845A29DE]
[ INFO ] GET /auth/getToken [request-id: DD585C22-C65A-4F7E-AF55-F637F8663D4A]
[ INFO ] GET /internal/auth/context [request-id: FE457460-9C9E-4A7D-9102-FE5B562544BB]
[ INFO ] GET /auth/getToken [request-id: CC41CE6E-222D-460A-8F79-6E2A3872971D]
[ INFO ] GET /internal/auth/context [request-id: FCBAD25E-AA41-49C8-9B65-05A4204ABD60]
[ INFO ] GET /auth/getToken [request-id: 4DB55CEF-8A50-49B4-AE78-3884B210F67B]
[ INFO ] GET /internal/auth/context [request-id: D2384267-F0D2-4C20-98A6-9E58D770B8CE]
[ INFO ] GET /auth/getToken [request-id: 64A285E6-156E-4381-B942-FD1E084BF54F]
[ INFO ] GET /internal/auth/context [request-id: DE4F1799-B671-46DF-BF3F-532864B2E35C]
[ INFO ] GET /auth/getToken [request-id: D23331DC-4799-48BD-A483-C929A7411175]
[ INFO ] GET /internal/auth/context [request-id: F70BCB29-F85C-4DDE-A7D4-94670D83C2B0]
[ INFO ] GET /internal/auth/context [request-id: CA2A5610-D0D5-477C-9021-ED4BA0CAD713]
